,CTRL1,CTRL2,CTRL3,CTRL4,CTRL5,CTRL6,CTRL7,CTRL8,CTRL9,CTRL10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10
ENSG00000196912,8.721966,10.06852,10.26975,9.629725,7.756412,7.815483,6.80273,7.138822,10.57915,10.86614,5.172432,5.117716,3.83241,5.461758,5.44024,5.14942,5.676221,5.186083,3.259825,5.238693
ENSG00000121966,7.459074,7.244172,7.455308,7.754948,10.40863,9.683305,10.52663,10.40319,6.385928,7.78057,8.546196,9.213539,9.137132,9.50007,9.096083,10.23584,8.393125,9.956672,7.051134,7.501991
ENSG00000238741,3.813649,4.16505,2.85376,3.897862,5.242326,5.259935,3.404915,3.053781,9.085594,6.830845,3.268739,3.086328,3.078485,3.393662,3.043073,4.081453,4.079819,3.378159,4.47518,3.325675
ENSG00000180044,4.544071,3.207597,5.002677,5.064368,6.110878,6.096834,5.198267,5.907275,7.373161,6.978635,7.167265,4.911204,6.411527,5.9261,6.693901,4.975535,7.817781,6.407174,6.212559,7.834312
ENSG00000280650,11.62868,12.02807,12.09605,11.55673,2.433424,2.433424,2.433424,2.433424,11.83657,11.3233,3.843701,3.349216,3.078485,2.994564,3.289416,3.290326,3.241734,3.107309,3.587182,4.144446
ENSG00000186212,4.28768,4.015063,2.85376,2.803037,5.049,5.220589,4.060462,4.360345,6.237651,6.013991,6.573176,4.084101,5.926775,5.316992,5.982072,5.228753,7.167397,6.161969,5.292847,7.311538
ENSG00000184305,7.92545,7.577996,8.121737,8.068457,9.037328,8.94084,8.766467,9.088126,10.87817,9.999374,5.538698,4.449335,5.570527,4.849243,5.44024,4.541449,5.137992,4.584304,5.222778,6.016587
ENSG00000270906,3.25009,5.229103,4.081556,4.046493,2.433424,2.433424,2.433424,2.433424,3.148664,2.433424,4.671618,7.810492,7.281275,9.298672,3.876918,7.130421,7.452143,4.237059,8.967818,4.617329
ENSG00000175426,8.324013,6.745715,7.743612,8.607473,8.528629,8.983204,8.728037,9.051362,9.831657,10.33082,6.73367,6.033412,6.354347,5.433981,6.191053,5.374969,7.985766,6.112482,4.900234,8.222257
ENSG00000164326,5.887406,3.637028,3.723897,4.209036,3.500302,3.052449,3.126734,3.053781,6.826961,6.249279,6.544589,5.875187,6.274367,4.849243,5.936324,4.171072,6.500543,5.895296,6.411743,6.949625
ENSG00000240764,5.610867,6.047069,5.854594,4.505183,5.563153,5.259935,5.388856,5.264677,11.46107,9.082382,7.842121,6.385455,5.270378,5.56767,7.096826,5.507297,7.588962,7.349123,4.342993,7.200718
ENSG00000247627,10.58244,8.431626,8.027817,8.595554,3.726351,4.103013,3.859569,3.90066,5.688391,5.468689,9.073155,13.76755,13.81678,14.78808,9.171511,13.53196,13.68256,8.829082,15.35271,9.90992
ENSG00000146147,4.96346,6.188531,4.607878,4.765477,4.552766,5.316937,3.783609,4.281367,8.676399,9.139483,7.579442,5.49317,7.164508,5.712935,7.086454,5.81766,8.090854,7.002155,6.0223,8.316991
ENSG00000168298,9.545242,7.972998,8.004648,7.158444,7.361149,7.238198,7.690016,7.547887,8.092251,8.028138,3.268739,3.349216,3.078485,2.433424,2.433424,3.290326,3.56252,3.107309,3.587182,3.069285
ENSG00000130368,3.343556,3.842527,3.360613,3.251174,3.726351,2.433424,2.433424,2.433424,11.83737,10.4394,6.326711,3.708497,5.04339,4.121204,6.026394,3.98443,6.258537,6.00803,5.542433,6.872783
ENSG00000197061,12.5055,13.03493,11.54049,11.32739,5.938551,5.773553,5.633375,5.340241,8.65473,8.712605,3.028146,2.433424,4.166978,2.433424,3.043073,3.760973,2.433424,3.107309,3.829347,2.433424
ENSG00000276966,5.316375,4.418719,4.819774,4.48095,6.20508,6.446537,6.501406,6.4521,9.851897,8.371096,4.671618,5.297197,6.950275,5.048463,4.973305,6.134217,4.809308,4.728182,5.14897,4.322606
ENSG00000106366,5.797223,9.146598,10.17956,4.684305,5.438297,5.491679,4.060462,4.695173,6.184596,7.103468,8.759603,7.163798,10.05944,6.689391,6.423731,8.176705,8.095453,8.642347,7.782234,6.614001
ENSG00000185955,6.952931,9.231263,7.503877,8.10629,3.362431,3.839959,3.404915,3.053781,4.529234,5.802162,6.615014,7.980913,10.10186,6.542966,6.773721,7.739919,5.403027,6.427513,9.442141,7.493471
ENSG00000174469,7.946405,8.099945,8.341059,8.778876,10.12293,10.05739,9.761367,9.528444,11.74982,10.63076,7.318155,5.529273,4.83005,6.843241,6.812026,6.050727,6.950695,5.980674,4.026703,6.872783
